Tweet,Location,Created_Date,Username,Screen_Name,Polarity,Match
TeamOhioGray: Congratulations to 2021 P Amber Roth who has verbally committed to Youngstown State University to further her education a,"Ohio, USA",2019-10-31 13:18:44,Team Ohio Red- 04,TeamOhioRed_04,Positive,congratulations
"ACornerBanjul: ...Well be inviting the stakeholders from the University of The Gambia, and Ministry of Higher Education, Research, Sci",Gambia,2019-10-31 13:18:41,Mbenga,Fatou_Mb,Nutral,
We were very happy to welcome Kangwon National University as our newest member of our Higher Education Collaborativ,"MIT, Cambridge, MA",2019-10-31 13:18:12,J-WEL,mit_jwel,Positive,"happy,welcome"
"Daddybillion Ayourb therealdaddymo1 Bros 
University education no be am
She was Raised badly",,2019-10-31 13:18:09,Cromagnon the breaker of tables,mikolowiska2,Negative,badly
CoachCheney: Congratulations to Nault21 for signing with Cleary University to continue his education and athletic careers.,"Hartland, MI",2019-10-31 13:17:07,Hartland Wrestling,HLandWrestling,Positive,congratulations
"MWakeel999: #_____
Upscale schools, private universities and Allama Iqbal Open University (AIOU) are located in H",,2019-10-31 13:16:59,Naeem-ul-hasnat (  ),naeem989,Positive,upscale
"k_satyarthi: Today hundreds of students from Delhi University joined the call for #FreeSafeEducated childhoods
 by strengthening the de",,2019-10-31 13:16:58,Debapratim Deb,deb_debapratim,Nutral,
"meredithyoung1: We are hiring! 
The Institute of Health Sciences Education (IHSE_McGill) at mcgillu in beautiful Montreal Canada have","Montral, Qubec",2019-10-31 13:16:45,IHSE McGill,IHSE_McGill,Positive,beautiful
RayTilde: All indigenes of Bauchi State with UTME scores 180 or above who have not secured admission into any Nigerian University shoul,,2019-10-31 13:16:38,Abdulrahman Muazu,AbdulmMuazu,Nutral,
TeamOhioGray: Congratulations to 2021 P Amber Roth who has verbally committed to Youngstown State University to further her education a,"Columbus, Ohio",2019-10-31 13:16:28,Jason Mclean,Jmclean1313,Positive,congratulations
boonelariah: Incredibly excited to announce my verbal commitment to further my education and play division 2 soccer at Missouri Souther,,2019-10-31 13:16:21,Sonja Coomes,sonja_coomes,Positive,"incredibly,excited,commitment"
MandyMathEd: The University of Delaware is also searching for a tenure track faculty member at the assistant professor level in mathema,"Bend, Oregon",2019-10-31 13:15:45,Melinda Knapp,KnappMelinda,Nutral,
"k_satyarthi: Today hundreds of students from Delhi University joined the call for #FreeSafeEducated childhoods
 by strengthening the de",,2019-10-31 13:15:38,Paramshree Padmakar,ppadmakar04,Nutral,
"Free Education University &gt;&gt; How to get grants for trade or vocational school, community colleges, or a university","Secaucus, NJ",2019-10-31 13:15:27,Johana Sothan - Free Education University,SothanJohana,Positive,free
"Abrar_0001: #_____
Talking about the university, he said history showed that no country or society could progress","Islamabad, Pakistan",2019-10-31 13:15:03,    ,aminrasyal,Positive,progress
"k_satyarthi: Today hundreds of students from Delhi University joined the call for #FreeSafeEducated childhoods
 by strengthening the de","Toronto, Canada",2019-10-31 13:14:54,Chasing Miles,AnupriyaBasu123,Nutral,
"k_satyarthi: Today hundreds of students from Delhi University joined the call for #FreeSafeEducated childhoods
 by strengthening the de","New Delhi, India",2019-10-31 13:14:54,Harish Singh Bisht,HarishS13965071,Nutral,
Embry-Riddle gets accreditation warning for shortenedprograms,,2019-10-31 13:14:49,wtfiscrackin,wtfiscrackin,Negative,warning
"Bridgewater State University  Assistant Professor, Dept. of Special Education",,2019-10-31 13:14:48,JBHE Employment Zone,JBHEJobs,Nutral,
nigewillson: 'It's an educational revolution': how AI is transforming university life via  guardian,"Cambridge, MA",2019-10-31 13:14:39,Machine Learning Memoirs,mlmemoirs,Nutral,
PoBCAdvocate: From CBCNews Parents of Black Children York Region meet at least four times a year and provide a safe space for parents,,2019-10-31 13:14:26,KAMA Communications,KAMACommunicate,Positive,safe
hongkong_news: SCMP: President of Hong Kong Polytechnic University Teng Jin-guang refuses to shake hands with students who wore masks d,,2019-10-31 13:14:20,Anita Nelson,AnitaNe12547834,Negative,"refuses,shake"
.SpectrumThera has partnered with tok_int to provide cannabis education to healthcare professionals and patients,"Toronto, Ontario",2019-10-31 13:14:17,Canadian Cannabis News,cannabisincdn,Nutral,
PoBCAdvocate: From CBCNews Parents of Black Children York Region meet at least four times a year and provide a safe space for parents,,2019-10-31 13:13:59,Woke Mommy Chatter,WokeMommy,Positive,safe
From CBCNews Parents of Black Children York Region meet at least four times a year and provide a safe space for p,"Ontario, Canada",2019-10-31 13:13:42,Parents of Black Children,PoBCAdvocate,Positive,safe
"barneyfarmer: One problem is that millions believe they learned critical thinking over the course of their university education, when i",Oxford,2019-10-31 13:13:23,Oxford Hacker,oxfordhacker,Negative,"problem,critical"
"DCUSU: DCU Students Union urges Minister of Justice, Charlie Flanagan to stop the deportation of Mehwish Saqib, having lived in Irelan",,2019-10-31 13:13:10,Mehwish Saqib,hellowsaqib,Nutral,
MoodDisordersCa: Anxious about starting university  or just missing the dog? Students who have been there shared their top tips:,"Toronto, Ontario, Canada",2019-10-31 13:13:08,Christine Newman,HeyWriterGrrl,Nutral,"anxious,top"
"k_satyarthi: Today hundreds of students from Delhi University joined the call for #FreeSafeEducated childhoods
 by strengthening the de",godhra,2019-10-31 13:12:43,jk gandhi,janakgandhi1,Nutral,
olusogaowoeye: dmightyangel gbolaekemode If a DVC said IPPIS is a spreadsheet and spreadsheets are not software who is gbolaekemode.,Cosmos,2019-10-31 13:12:40,Taiwo_Ajakaye,dmightyangel,Nutral,
"Choosing the right university for an #MBA is an important task, and here are some points you need to consider befor","Mumbai, India",2019-10-31 13:12:38,Mumbai Live,MumbaiLiveNews,Positive,"right,important"
