Word,Frequency,Polarity
congratulations,41,Positive
happy,10,Positive
welcome,1,Positive
upscale,2,Positive
beautiful,4,Positive
incredibly,6,Positive
excited,45,Positive
commitment,35,Positive
free,504,Positive
progress,20,Positive
safe,5,Positive
top,17,Positive
right,31,Positive
important,6,Positive
works,3,Positive
intelligence,6,Positive
fancy,19,Positive
worked,8,Positive
love,8,Positive
commendable,5,Positive
good,42,Positive
foremost,1,Positive
like,52,Positive
renewed,1,Positive
support,8,Positive
celebration,11,Positive
successful,11,Positive
promise,2,Positive
great,40,Positive
blessing,7,Positive
innovation,6,Positive
thankful,7,Positive
lead,4,Positive
thank,24,Positive
superior,3,Positive
afford,28,Positive
enjoy,3,Positive
secure,5,Positive
trump,14,Positive
strong,7,Positive
creative,5,Positive
ready,4,Positive
inspirational,33,Positive
salute,2,Positive
masters,8,Positive
unconditional,40,Positive
peace,7,Positive
reforms,30,Positive
favor,29,Positive
interests,29,Positive
well,27,Positive
helped,6,Positive
leading,21,Positive
astonishing,1,Positive
harmonize,4,Positive
honesty,1,Positive
saint,3,Positive
appeal,25,Positive
bolster,1,Positive
recovery,1,Positive
pride,2,Positive
enough,6,Positive
best,43,Positive
subsidize,6,Positive
innovative,2,Positive
work,45,Positive
better,62,Positive
proud,18,Positive
affordable,2,Positive
excel,5,Positive
prestigious,4,Positive
grand,5,Positive
sustainability,2,Positive
excellent,7,Positive
proven,4,Positive
profound,1,Positive
protect,6,Positive
excellence,12,Positive
led,2,Positive
prize,2,Positive
winners,2,Positive
success,7,Positive
useful,1,Positive
encouraging,1,Positive
supporting,4,Positive
bright,1,Positive
restructuring,1,Positive
privilege,4,Positive
reform,6,Positive
improving,3,Positive
awesome,2,Positive
powerful,1,Positive
fair,4,Positive
dynamic,4,Positive
merit,1,Positive
talent,1,Positive
educated,5,Positive
liberty,1,Positive
extraordinary,2,Positive
timely,1,Positive
sustainable,1,Positive
advantage,4,Positive
clean,1,Positive
fantastic,4,Positive
wonder,3,Positive
award,6,Positive
winning,1,Positive
stable,1,Positive
low-cost,2,Positive
supports,9,Positive
spirited,1,Positive
interesting,6,Positive
ideal,1,Positive
genuine,15,Positive
celebrate,1,Positive
cozy,2,Positive
regard,2,Positive
awarded,2,Positive
modern,5,Positive
advocate,14,Positive
variety,2,Positive
master,3,Positive
impressive,3,Positive
advanced,3,Positive
super,3,Positive
available,5,Positive
favour,2,Positive
premier,4,Positive
honor,1,Positive
leads,2,Positive
generous,1,Positive
wonderful,3,Positive
supported,1,Positive
delighted,2,Positive
supporter,11,Positive
nurturing,1,Positive
sweet,1,Positive
benefits,3,Positive
confidence,1,Positive
exciting,3,Positive
talented,1,Positive
amazing,3,Positive
nice,1,Positive
respect,1,Positive
groundbreaking,8,Positive
assure,1,Positive
gain,2,Positive
valuable,2,Positive
golden,2,Positive
easy,4,Positive
encourage,1,Positive
improve,2,Positive
solid,1,Positive
promising,1,Positive
passion,1,Positive
approval,1,Positive
willing,1,Positive
endorsement,2,Positive
progressive,1,Positive
enhances,2,Positive
favorite,1,Positive
fun,5,Positive
fresh,4,Positive
glad,2,Positive
clear,1,Positive
reassurance,1,Positive
enjoying,1,Positive
perfect,3,Positive
yay,1,Positive
qualified,1,Positive
distinguished,1,Positive
recommend,1,Positive
jolly,1,Positive
efficient,3,Positive
pleased,3,Positive
heartfelt,3,Positive
luxury,3,Positive
correct,2,Positive
fans,1,Positive
incredible,1,Positive
legendary,1,Positive
darling,2,Positive
innocuous,1,Positive
prominent,1,Positive
worth,1,Positive
respectable,2,Positive
openly,1,Positive
patient,1,Positive
correctly,1,Positive
supremacy,1,Positive
privileged,1,Positive
conveniently,1,Positive
freedom,1,Positive
pardon,1,Positive
staunchly,1,Positive
smart,5,Positive
remarkable,2,Positive
renaissance,1,Positive
honored,1,Positive
won,2,Positive
sweetheart,1,Positive
praise,1,Positive
inspire,1,Positive
competitive,1,Positive
fascinating,1,Positive
luck,1,Positive
fast,1,Positive
inspiring,2,Positive
celebrated,1,Positive
victory,1,Positive
inspiration,1,Positive
