Title,Author,Description,Published_At,Content
London Bridge Attack Victims Were Advocates for Prisoner Rehabilitation,Megan Specia,"Saskia Jones and Jack Merritt, who were killed in the attack, had worked with a prison education program backed by Cambridge University.",2019-12-02T15:11:39Z,"Jeremy Corbyn, the leader of the opposition Labour Party, told Sky News that he believed that the criminal justice system needed to be reassessed. But he challenged the idea that people sentenced for terrorism offenses should not be released early, and pointe [+1021 chars]"
"Racial Slurs, and 15 Days That Shook Syracuse",Aaron Randle,How a protest by students of color at Syracuse University  #NotAgainSU  electrified the campus and gained national attention.,2019-11-27T10:00:31Z,"White fraternity members approached on campus declined to comment on the protests. The Syracuse Intrafraternity Council said it would improve education programs on issues surrounding racism, implicit bias and sexual assault.
The Syracuse University community [+1432 chars]"
University of Alberta students call on school to fire assistant lecturer who denies the Holodomor - The Globe and Mail,The Canadian Press,University of Alberta students call on school to fire assistant lecturer who denies the Holodomor The Globe and Mail Alberta university students want lecturer who denies Ukrainian famine fired Calgary Herald Calls to oust University of Alberta lecturer over g,2019-11-29T16:50:29Z,"The University of Alberta campus is pictured in Edmonton, Alta., in an Aug. 26, 2016, file photo.
CODIE MCLACHLAN/The Globe and Mail
Some University of Alberta students want the school to fire an assistant lecturer who denies the Holodomor, the mass genocid [+2642 chars]"
Canadian Therapist Gives Up License After Satanists Expose Her 'Mind Control' Talks,Ed Cara,"Activists with The Satanic Temple say a now-former therapist in Canada has been pushing conspiracies about globe-spanning, mind-controlling cults for years. And after they exposed some of her professional talks to her licensing board, she voluntarily gave up ",2019-11-05T18:10:00Z,"Activists with The Satanic Temple say a now-former therapist in Canada has been pushing conspiracies about globe-spanning, mind-controlling cults for years. And after they exposed some of her professional talks to her licensing board, she voluntarily gave up  [+11388 chars]"
Ron MacLean addresses Don Cherry controversy as he scores honorary degree from University of Alberta - Edmonton Journal,,Longtime national sports broadcaster Ron MacLean said he hopes to continue his friendship with former co-host Don Cherry after his controversial termination from Hockey Night in Canada.MacLean was ,2019-11-20T01:10:51Z,"Longtime national sports broadcaster Ron MacLean said he hopes to continue his friendship with former co-host Don Cherry after his controversial termination from Hockey Night in Canada.
MacLean was in Edmonton Tuesday to receive an honorary degree from the U [+2908 chars]"
Cal State Chancellor Talks Public Education,Jill Cowan,Thursday: A conversation about the California State Universitys role. Also: A profile of the notable Californian Tom Hanks.,2019-11-14T14:16:49Z,"Ive had a chance to work with the board of trustees and appoint many new presidents. I think Ive been on 21 searches, and weve totally changed our presidential team. Half are women. And they come from the racial and ethnic identity groups that our students co [+1878 chars]"
Student poverty: French march in protest after suicide bid,,A student who set himself on fire on Friday blamed his severe financial difficulties on government.,2019-11-12T23:28:38Z,"Image copyrightAFPImage caption
 Protesters gathered at the Lyon university attended by the student
Students have marched through cities across France to show solidarity with a student who attempted suicide on Friday. 
The 22-year-old man set himself on fi [+1811 chars]"
"Silicon Valley's Singularity University Is Cutting Staff, CEO Exits",msmash,"Singularity University, a Silicon Valley institute offering education on futurism, is reckoning with its own uncertain future. The chief executive officer is stepping down, and the organization plans to eliminate staff. From a report: The changes were outline",2019-11-13T18:30:00Z,The Fine Print: The following comments are owned by whoever posted them. We are not responsible for them in any way.
Brigham Young University is forcing poor students to choose between free health care and a college education,"mdegeurin@businessinsider.com (Mack DeGeurin), Mack DeGeurin","The Church of Later Day Saints Brigham Young University-Idaho will not allow its students to enroll in courses if they are insured under Medicaid. Instead, students will have to pay out of pocket for private insurance or pay for the school's health insurance ",2019-11-25T18:38:30Z,"The lowest-income students at the Brigham Young University-Idaho face a momentous choice  pay for private health insurance, or drop out of school. Specifically, the choice affects students who qualify for free coverage under Medicaid, which starting in Janua [+4997 chars]"
A Welcome Funding Source for College Athletics: Women Investing in Womens Sports,Jeré Longman,"As the 50th anniversary of Title IX approaches, former female athletes are donating millions to build facilities and endow scholarships and coaching positions at their alma maters.",2019-12-03T16:07:12Z,"Lisa Palmer, 51, a former star softball pitcher at Virginia who is now president and chief financial officer of a real estate investment trust, endowed a softball scholarship there in 2014. Now she is the lead donor, with her mother, for a $10 million softbal [+1695 chars]"
Millions of SMS messages exposed in database security lapse,Zack Whittaker,"A massive database storing tens of millions of SMS text messages, most of which were sent by businesses to potential customers, has been found online. The database is run by TrueDialog, a business SMS provider for businesses and higher education providers, wh",2019-12-01T16:00:23Z,"A massive database storing tens of millions of SMS text messages, most of which were sent by businesses to potential customers, has been found online.
The database is run by TrueDialog, a business SMS provider for businesses and higher education providers, w [+2670 chars]"
